brand name,dosage form,generic,strength,manufacturer
Black Cohos,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Ibn Sina Pharmaceuticals Ltd.
Biovit-E,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Biopharma Laboratories Ltd.
Bioprem,Capsule,Biotin,2500 mcg,Square Pharmaceuticals Ltd.
Bioprem,Capsule,Biotin,1000 mcg,Square Pharmaceuticals Ltd.
Bioglo,Capsule,Biotin,1000 mcg,Drug International Ltd.
Bioglo,Capsule,Biotin,2500 mcg,Drug International Ltd.
Biogen,Tablet,Collagen II & GAGs,1 gm,Kemiko Pharmaceuticals Ltd.
Bio-7,Tablet,Biotin,1000 mcg,The White Horse Pharma
Bilogin,Capsule,Ginkgo Biloba,60 mg,Alien Pharma
Biloba,Capsule,Ginkgo Biloba,60 mg,Drug International Ltd.
Betaburn,Ointment,β-Sitosterol,0.25% w/w,Square Pharmaceuticals Ltd.
Bel,Syrup,Belgiri [Bael fruit + Connessi bark],(1 gm+0.5 gm)/5 ml,Ibn Sina Pharmaceuticals Ltd.
Basokof,Syrup,Herbal cough syrup [Vasakarista],,Ibn Sina Pharmaceuticals Ltd.
Basak,Syrup,Herbal cough syrup [Vasakarista],,Hamdard Bangladesh
Bandish,Tablet,"Bandish [Oak Galls, Tannic acid]",15.63 mg+78.12 mg,Ibn Sina Pharmaceuticals Ltd.
Balarist-A,Syrup,Balarista,,ACME Laboratories Ltd.
Asparex,Syrup,Compound Asparagus,,ACME Laboratories Ltd.
Asmarid,Syrup,Mahadrakkharist [Grape extract],,ACME Laboratories Ltd.
E-Cap,Capsule,Vitamin E [Alpha Tocopherol Acetate],600 IU,Drug International Ltd.
E 400,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],400 IU,Bristol Pharmaceuticals Ltd.
E 200,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 IU,Bristol Pharmaceuticals Ltd.
Dysni,Tablet,Pechish,,Hamdard Bangladesh
Duratab,Tablet,Habb-e-Nishat,,Ibn Sina Pharmaceuticals Ltd.
Dubarel,Syrup,Aushokarist [Saraca Indica],,Square Pharmaceuticals Ltd.
Dolabi,Tablet,Natural medicine for diabetes,,Hamdard Bangladesh
DK,Capsule,Vitamin D3 + Vitamin K1 + Vitamin K2,400 IU+60 mcg+30 mcg,Square Pharmaceuticals Ltd.
Dirulina,Capsule,Spirulina,500 mg,Ibn Sina Pharmaceuticals Ltd.
Digac,Syrup,Jamani Arka,,ACME Laboratories Ltd.
Difans,Syrup,Hazmina,5 mg,Drug International Ltd.
Devas,Syrup,Herbal cough syrup [Adhatoda Vasica],,Drug International Ltd.
Dermaid,Ointment,Marham Kharish,,Hamdard Bangladesh
Decaren,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Renata Limited
Danta Rakkha,Oral Powder,Sanoon Babla,,Hamdard Bangladesh
Dabur Chyawanprash,Oral Suspension,Emblic Myrobalan + Aswagandha + Grape,,Dabur India Limited
D-Sefa,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Drug International Ltd.
Curnoid,Tablet,Curcuminoids [Curcuma Longa],500 mg,Radiant Nutraceuticals Ltd.
Cranbiotic,Capsule,Cranberry [Vaccinium macrocarpon],400 mg,Radiant Nutraceuticals Ltd.
Cran-B,Capsule,Cranberry [Vaccinium macrocarpon],400 mg,Incepta Pharmaceuticals Ltd.
Cpvit E,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Cosmo Pharma Ltd.
Cozyme,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Drug International Ltd.
Cozyme,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,Drug International Ltd.
CoQ,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Beacon Pharmaceuticals Ltd.
CoQ,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,Beacon Pharmaceuticals Ltd.
Cool max,Ointment,Mentha + Cinnamomum + Gaultheria + Capsicum,,ACME Laboratories Ltd.
Colmint,Capsule,Peppermint Oil,187 mg/0.2 ml,Square Pharmaceuticals Ltd.
Cinkara,Syrup,Herbal Multivitamin,,Hamdard Bangladesh
Chirol,Tablet,Sharbat Musaffi,,Ibn Sina Pharmaceuticals Ltd.
Femorose,Capsule,Evening primrose oil,1000 mg,Incepta Pharmaceuticals Ltd.
Femiton,Tablet,Monjistha [Rubia cordifolia],500 mg,ACME Laboratories Ltd.
Fecilax,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,ACME Laboratories Ltd.
EVV,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Pharmadesh Laboratories Ltd.
Evit,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Square Pharmaceuticals Ltd.
Evit,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Square Pharmaceuticals Ltd.
Evidon,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Doctor’s Chemical Works Ltd.
Etrifal Ustukhudus,Powder for Suspension,Lavendar [Lavendula stoechas],,Hamdard Bangladesh
Eredex,Capsule,Yohimbine Hydrochloride,5.4 mg,Square Pharmaceuticals Ltd.
Eprim Plus,Capsule,Evening primrose oil,1000 mg,Square Pharmaceuticals Ltd.
Eprim,Capsule,Evening primrose oil,500 mg,Square Pharmaceuticals Ltd.
Enerton,Syrup,Balarista,,Square Pharmaceuticals Ltd.
Endurex,Capsule,Mumshik,,Hamdard Bangladesh
Endemali,Powder for Suspension,Antacid [Unani],,Hamdard Bangladesh
Efynal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Healthcare Pharmaceuticals Ltd.
Ecovit-S,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Globe Pharmaceuticals Ltd.
Ecovit,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Globe Pharmaceuticals Ltd.
E-Zen,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Zenith Pharmaceuticals Ltd.
E-Tab,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 IU,ACME Laboratories Ltd.
E-Soft,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Pacific Pharmaceuticals Ltd.
E-Soft,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Pacific Pharmaceuticals Ltd.
E-Gold,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Rangs Pharmaceuticals Ltd.
E-Gold,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Rangs Pharmaceuticals Ltd.
E-Gel DS,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Renata Limited
E-Gel,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Renata Limited
E-fill,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,General Pharmaceuticals Ltd.
E-fill,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,General Pharmaceuticals Ltd.
E-Cold,Capsule,Echinacea,450 mg,Ibn Sina Pharmaceuticals Ltd.
E-Cap,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Drug International Ltd.
Hajmo-A,Tablet,Vaskar Laban [Piper + Zingiber + Cinnamomum],500 mg,ACME Laboratories Ltd.
Gynolac,Capsule,Probiotic Combination [2.3 Billion],2.3 billion,Drug International Ltd.
GoodGut,Capsule,Probiotic Combination [4 Billion],4 billion,Renata Limited
Goodbac-3S,Capsule,Probiotic Combination [4 Billion],4 billion,Aristopharma Ltd.
Gobison,Capsule,Ginkgo Biloba,120 mg,Bronson  Laboratories (BD) Ltd.
Gintonic,Syrup,Panax Ginseng,300 mg/5 ml,ACME Laboratories Ltd.
Ginton,Capsule,Panax Ginseng,500 mg,Hamdard Bangladesh
Gintex,Capsule,Panax Ginseng,500 mg,Square Pharmaceuticals Ltd.
Ginsina,Capsule,Panax Ginseng,500 mg,Ibn Sina Pharmaceuticals Ltd.
Ginoba,Capsule,Ginkgo Biloba,60 mg,Radiant Nutraceuticals Ltd.
Ginkgo-B,Capsule,Ginkgo Biloba,60 mg,Aristopharma Ltd.
Gingoba,Tablet,Ginkgo Biloba,120 mg,Ibn Sina Pharmaceuticals Ltd.
Gingoba,Tablet,Ginkgo Biloba,40 mg,Ibn Sina Pharmaceuticals Ltd.
Gingo,Capsule,Ginkgo Biloba,60 mg,ACME Laboratories Ltd.
Ginera,Capsule,Panax Ginseng,500 mg,Renata Limited
Ginax,Capsule,Panax Ginseng,500 mg,Drug International Ltd.
Giloba,Capsule,Ginkgo Biloba,60 mg,Square Pharmaceuticals Ltd.
Giloba,Capsule,Ginkgo Biloba,120 mg,Square Pharmaceuticals Ltd.
Gelaseed,Capsule,Flaxseed oil [Linum Usitatissimum],1000 mg,Square Pharmaceuticals Ltd.
Gastroaid,Tablet,Fermented soy [Lactobacillus Delbrueckii],500 mg,Radiant Nutraceuticals Ltd.
Garllium,Capsule,Garlic Oil,385 mg,Renata Limited
Garlin,Capsule,Garlic Oil,10 mg,Square Pharmaceuticals Ltd.
Garlicap,Capsule,Garlic Oil,10 mg,Drug International Ltd.
Frodex,Tablet,Ambar Momiyaee,,Hamdard Bangladesh
Flucare,Capsule,Andrographis paniculata,200 mg,Ibn Sina Pharmaceuticals Ltd.
Floriz,Tablet,Biotin,1000 mcg,Radiant Nutraceuticals Ltd.
Fiberlax Ultra,Effervescent Granules,Ispaghula Husk + Mebeverine Hydrochloride,(3.5 gm+135 mg)/sachet,Incepta Pharmaceuticals Ltd.
Fevnil,Syrup,Khakshi,,Hamdard Bangladesh
Ferodin,Capsule,Nabayas Louha Herbal Haematinic,500 mg,ACME Laboratories Ltd.
JeeBee,Capsule,Ginkgo Biloba,60 mg,Renata Limited
Jarira,Capsule,Chirata [Swertia Chirata],250 mg,Drug International Ltd.
Ispahusk,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,UniMed UniHealth
Isabgul Plus,Effervescent Powder,Ispaghula Husk + Sonapata,(3 gm+1 gm)/4 gm,Ibn Sina Pharmaceuticals Ltd.
Isabgul Plus,Effervescent Powder,Ispaghula Husk + Sonapata,(3 gm+1 gm)/4 gm,Ibn Sina Pharmaceuticals Ltd.
Iripum,Capsule,Pumpkin [Cucurbita pepo],500 mg,Ibn Sina Pharmaceuticals Ltd.
Intellon,Capsule,Ginkgo Biloba,120 mg,Total Natural Company
Insperm,Tablet,Espand,,Hamdard Bangladesh
Inovit E,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Incepta Pharmaceuticals Ltd.
Inovit E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Incepta Pharmaceuticals Ltd.
Improliv,Capsule,Silymarin [Milk thistle],140 mg,Veritas Pharmaceuticals Ltd.
Immuna,Capsule,Spirulina,450 mg,Alien Pharma
Icturn,Syrup,Dinar,,Hamdard Bangladesh
Honeybas,Syrup,Herbal cough syrup [Adhatoda Vasica],,ACME Laboratories Ltd.
HollySeed,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Opsonin Pharma Ltd.
Hermin,Tablet,Rehmin,,Hamdard Bangladesh
Hepatolin,Syrup,Rohitakarista,,ACME Laboratories Ltd.
Hepanor,Capsule,Silymarin [Milk thistle],70 mg,Drug International Ltd.
Hepanor,Capsule,Silymarin [Milk thistle],140 mg,Drug International Ltd.
Hepamilk,Capsule,Silymarin [Milk thistle],70 mg,ACME Laboratories Ltd.
Hepamilk,Capsule,Silymarin [Milk thistle],140 mg,ACME Laboratories Ltd.
Hepamarin,Capsule,Silymarin [Milk thistle],140 mg,Aristopharma Ltd.
Hepalgin,Tablet,Kabid Nawshadri,,Hamdard Bangladesh
Hemorist,Syrup,Abhayarista,,ACME Laboratories Ltd.
Helax,Tablet,Aloe + Black Pepper + Henbane,130.43 mg+86.96 mg+18.12mg,Hamdard Bangladesh
Hantar,Tablet,White Damar + Acacia + Bole Rubra,1.66 gm+1.66 gm+1.66 gm,Hamdard Bangladesh
Hanrhoid-B,Tablet,Guggul + Barberry + Chebulic Myrobalan,100 mg+33.33 mg+16.67 mg,Hamdard Bangladesh
Hanrhoid,Tablet,Chebulic Myrobalan + Barberry,125 mg+125 mg,Hamdard Bangladesh
Hanpy,Tablet,Datura + Rhubarb + Ginger,64.28 mg+42.86 mg+21.43 mg,Hamdard Bangladesh
Luzent,Capsule,Lutein + Zeaxanthin,20 mg+5 mg,Radiant Nutraceuticals Ltd.
Luvena,Capsule,Probiotic Combination [3.2 Billion],3.2 billion,Incepta Pharmaceuticals Ltd.
Lubub Kabir,Powder for Suspension,Salep + Coconut + Poppy Seeds +  Almond,,Hamdard Bangladesh
Livolite,Capsule,Andrographis paniculata,200 mg,Square Pharmaceuticals Ltd.
Livec,Capsule,Silymarin [Milk thistle],70 mg,Hamdard Bangladesh
Livasil,Capsule,Silymarin [Milk thistle],140 mg,Incepta Pharmaceuticals Ltd.
Livasil,Capsule,Silymarin [Milk thistle],70 mg,Incepta Pharmaceuticals Ltd.
Liqumint,Capsule,Peppermint Oil,187 mg/0.2 ml,Beacon Pharmaceuticals Ltd.
Liqu-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Beacon Pharmaceuticals Ltd.
Lina,Capsule,Spirulina,500 mg,Hamdard Bangladesh
Lina,Capsule,Spirulina,250 mg,Hamdard Bangladesh
Lifil-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,ACME Laboratories Ltd.
Lifil-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,ACME Laboratories Ltd.
Libidex,Capsule,Saffron + Mace arillus + Nutmeg fruit,,Hamdard Bangladesh
Lecosav,Syrup,Patrangasav,,ACME Laboratories Ltd.
Lecor,Syrup,Patrangasav,,Square Pharmaceuticals Ltd.
Laxadil-Senna,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,Drug International Ltd.
Ladica,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Hamdard Bangladesh
Lactohil,Oral Powder,23 herb formula to increase breast milk,100 gm/container,HLL Lifecare Limited
Lactoflora,Capsule,Probiotic Combination [2 Billion],2 billion,Drug International Ltd.
Kulzam,Liquid,Camphor + Thymol + Menthol + Eucalyptus oil,,Hamdard Bangladesh
Kofsol,Syrup,Herbal cough syrup [Adhatoda Vasica],,Kemiko Pharmaceuticals Ltd.
Kobi,Capsule,Ginkgo Biloba,40 mg,Hamdard Bangladesh
Kobi,Capsule,Ginkgo Biloba,60 mg,Hamdard Bangladesh
Kidcare,Syrup,Jirakaddarista,,ACME Laboratories Ltd.
Joshina,Powder for Suspension,Herbal cough syrup [Glycyrrhiza Glabra],6 gm/sachet,Hamdard Bangladesh
Jorvan,Capsule,Jogaraj Guggulu,500 mg,Square Pharmaceuticals Ltd.
Jonort,Capsule,St. John’s Wort,300 mg,Hamdard Bangladesh
Jinsant,Syrup,Jinsin,,Hamdard Bangladesh
Nilagel,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Square Pharmaceuticals Ltd.
Neuriva,Capsule,Ginkgo Biloba,60 mg,UniMed UniHealth
Nervolin,Syrup,Aswagandharista,,ACME Laboratories Ltd.
Nervent,Tablet,"Jadwar [Denudatum, Saffron, Henbane]",,Hamdard Bangladesh
Navit,Capsule,Spirulina,500 mg,Square Pharmaceuticals Ltd.
Naunehal,Syrup,Aniseed + Indian dill + Black cardamom + Peppermint,,Hamdard Bangladesh
Nature-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,UniMed UniHealth
Nature-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,UniMed UniHealth
Natlina,Capsule,Spirulina,500 mg,Opsonin Pharma Ltd.
Natlax,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,Radiant Nutraceuticals Ltd.
Monera,Syrup,Bacopa extract [Natural memory enhancer],,Square Pharmaceuticals Ltd.
Mintol,Capsule,Peppermint Oil,187 mg/0.2 ml,General Pharmaceuticals Ltd.
Mintek,Capsule,Peppermint Oil,187 mg/0.2 ml,Drug International Ltd.
Mevelum,Effervescent Granules,Ispaghula Husk + Mebeverine Hydrochloride,(3.5 gm+135 mg)/sachet,Ziska Pharmaceuticals Ltd.
Methicap,Capsule,Silymarin [Milk thistle],140 mg,Bronson  Laboratories (BD) Ltd.
Mestiza,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Incepta Pharmaceuticals Ltd.
Menotox,Syrup,Ashokarista,,ACME Laboratories Ltd.
Menopa,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Kemiko Pharmaceuticals Ltd.
Menoherb,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Drug International Ltd.
Menofemin,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Radiant Nutraceuticals Ltd.
Menocare,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,ACME Laboratories Ltd.
Melbit,Capsule,Bitter Melon [Korola],400 mg,Drug International Ltd.
Megajoy,Tablet,Yohimbine Hydrochloride,5.4 mg,ACME Laboratories Ltd.
Mebo,Ointment,β-Sitosterol,0.25% w/w,Gulf pharmaceutical industries
Maxton,Capsule,Panax Ginseng,500 mg,Bronson  Laboratories (BD) Ltd.
Masturin,Syrup,Devil’s Cotton + Ashoka bark + Aswagandha,,Hamdard Bangladesh
Mariment,Ointment,Calendula Officinalis [Marigold],0.04 gm/gm,ACME Laboratories Ltd.
Marbelus,Syrup,Belgiri [Bael fruit + Connessi bark],(1 gm+0.5 gm)/5 ml,Hamdard Bangladesh
Majoon Mugalliz,Powder for Suspension,Almond + Coconut + Edible Pine + Salep,,Hamdard Bangladesh
Premelos,Capsule,Ginkgo Biloba,60 mg,Incepta Pharmaceuticals Ltd.
Pirulin,Capsule,Spirulina,500 mg,Radiant Nutraceuticals Ltd.
Pirugold,Capsule,Spirulina,500 mg,Veritas Pharmaceuticals Ltd.
Perkup,Capsule,St. John’s Wort,300 mg,ACME Laboratories Ltd.
Pepnor,Syrup,Jeerakaddarishta Carminative,,Square Pharmaceuticals Ltd.
Peniton,Liquid,"Tila Jadeed [Madar, Mace arillus, Nutmeg nut]",,Hamdard Bangladesh
Peblew,Tablet,"Bandish [Oak Galls, Tannic acid]",15.63 mg+78.12 mg,Hamdard Bangladesh
Pavitex,Capsule,Panax Ginseng,500 mg,Kemiko Pharmaceuticals Ltd.
Papaya,Capsule,Carica Papaya Leaf Extract,250 mg,Ibn Sina Pharmaceuticals Ltd.
Panaseng,Capsule,Panax Ginseng,100 mg,Radiant Nutraceuticals Ltd.
Panaking,Capsule,Panax Ginseng,100 mg,Veritas Pharmaceuticals Ltd.
Paltex,Capsule,Saw Palmetto (160 mg),160 mg,Bronson  Laboratories (BD) Ltd.
Palmet,Capsule,Saw Palmetto (160 mg),160 mg,Hamdard Bangladesh
Painthol,Muscle Rub,Menthol + Camphor + Methyl Salicylate + Oleoresin Capsicum,(25.40 mg+14.30 mg+4.20 mg+0.05 mg)/gm,Kemiko Pharmaceuticals Ltd.
Oxi-Q,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,NIPRO JMI Pharma Ltd.
Oxi-Q,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,NIPRO JMI Pharma Ltd.
Ovit-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Opsonin Pharma Ltd.
Ovit-E,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Opsonin Pharma Ltd.
Ostylon,Capsule,Devil's Claw,400 mg,Empiric Laboratories Ltd.
Ocubil,Capsule,Bilberry fruit [Vaccinium myrtillus L],160 mg,Square Pharmaceuticals Ltd.
Ocuberry,Capsule,Bilberry fruit [Vaccinium myrtillus L],160 mg,Drug International Ltd.
Nutrilina,Capsule,Spirulina,500 mg,Renata Limited
Novotin,Capsule,Biotin,2500 mcg,UniMed UniHealth
Novotin,Capsule,Biotin,5000 mcg,UniMed UniHealth
Novotin,Capsule,Biotin,1000 mcg,UniMed UniHealth
Normatensin,Tablet,"Fishar [Snake root, Potassium, Magnesium]",,Hamdard Bangladesh
Nishat,Tablet,Saffron + Sand Lizard + Nutmeg fruit,,Hamdard Bangladesh
Nimulant,Capsule,Echinacea,450 mg,Hamdard Bangladesh
Nim-A,Capsule,Nimbadi Churna,500 mg,ACME Laboratories Ltd.
Revatol,Syrup,Mahadrakkharist [Grape extract],,Square Pharmaceuticals Ltd.
Reumacare,Syrup,Prasarani Sandhan,,ACME Laboratories Ltd.
ResQ,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Square Pharmaceuticals Ltd.
ResQ,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,Square Pharmaceuticals Ltd.
Remocof,Syrup,Herbal cough syrup [Adhatoda Vasica],,Incepta Pharmaceuticals Ltd.
Reli Balm,Cream,Menthol + Camphor + Eucalyptus Oil + Mint Oil,80 mg+45 mg+180 mg+10 mg,Square Pharmaceuticals Ltd.
Redid,Tablet,Rhubarb + Ginger,300.46 mg+50.07 mg,Hamdard Bangladesh
Redclov,Capsule,Red Clover Isoflavones,40 mg,Square Pharmaceuticals Ltd.
Recoseng,Capsule,Panax Ginseng,500 mg,Incepta Pharmaceuticals Ltd.
Rebio,Capsule,Probiotic Combination [4 Billion],4 billion,Ibn Sina Pharmaceuticals Ltd.
Radisil,Capsule,Silymarin [Milk thistle],140 mg,Radiant Nutraceuticals Ltd.
Qarhin,Oral Powder,Licorice + Yellow Silk Cotton + Mastic tree,,Hamdard Bangladesh
Q10,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,General Pharmaceuticals Ltd.
Q10,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,General Pharmaceuticals Ltd.
Pycnogenol,Capsule,Proanthocyanidins,50 mg,Radiant Nutraceuticals Ltd.
Protinavit,Capsule,Spirulina,500 mg,Incepta Pharmaceuticals Ltd.
Prostaid,Capsule,Saw palmetto (500 mg),500 mg,Radiant Pharmaceuticals Ltd.
Prostacare,Capsule,Saw palmetto (500 mg),500 mg,ACME Laboratories Ltd.
Promef,Tablet,"Mudir [Aloe, Saffron, Ferrus sulphate]",294.12 mg+58.82 mg+147.06 mg,Hamdard Bangladesh
Prolacto,Capsule,Probiotic Combination [4 Billion],4 billion,Drug International Ltd.
Procold,Capsule,Echinacea,500 mg,Incepta Pharmaceuticals Ltd.
Probio,Oral Powder,Probiotic Combination [4 Billion],4 billion/sachet,Square Pharmaceuticals Ltd.
Probio,Capsule,Probiotic Combination [4 Billion],4 billion,Square Pharmaceuticals Ltd.
Primrole,Capsule,Evening primrose oil,1000 mg,Aristopharma Ltd.
Primrole,Capsule,Evening primrose oil,500 mg,Aristopharma Ltd.
